transaction_id,store_id,product_id,quantity,date,total
1,3,148,3,2025-05-07,220613.4
2,2,111,4,2025-08-02,413440.04
3,1,61,5,2025-04-05,229970.9
4,1,6,2,2025-09-19,268672.4
5,1,74,5,2025-06-24,661426.2
6,4,70,1,2025-07-12,57704.79
7,4,37,4,2025-10-13,472236.88
8,3,104,5,2025-02-12,442547.15
9,2,134,1,2025-09-25,61852.15
10,3,48,4,2025-11-06,333883.2
11,3,113,3,2025-05-01,153125.37
12,1,10,5,2025-10-01,204237.95
13,4,141,3,2025-06-01,86204.91
14,4,158,2,2025-05-13,112002.58
15,3,175,5,2025-09-17,332374.05
16,1,173,4,2025-06-18,78333.48
17,1,191,1,2025-03-31,85675.51
18,4,41,1,2025-04-11,58696.43
19,1,46,1,2025-10-31,93923.96
20,4,193,3,2025-02-26,407622.45
21,2,145,3,2025-07-12,38217.12
22,4,180,5,2025-01-22,326232.55
23,3,49,1,2025-01-15,1382.78
24,3,20,1,2025-04-29,134885.07
25,4,197,2,2025-10-03,199489.26
26,4,41,2,2025-10-24,117392.86
27,3,60,2,2025-05-02,216672.64
28,1,94,4,2025-08-11,352696.44
29,4,104,5,2025-08-14,442547.15
30,1,186,3,2025-06-14,107948.46
31,4,146,2,2025-05-06,170318.78
32,2,82,5,2025-09-13,5192.8
33,4,161,5,2025-03-05,667471.1
34,2,42,4,2025-03-19,380373.48
35,1,109,4,2025-01-21,280104.72
36,1,117,4,2025-07-04,311491.2
37,1,91,1,2025-08-10,4187.77
38,3,47,5,2025-12-14,249886.3
39,1,135,2,2025-01-18,68740.6
40,3,156,4,2025-10-17,209851.12
41,4,150,2,2025-12-10,100012.94
42,1,8,4,2025-12-06,149821.64
43,3,105,2,2025-06-12,181645.66
44,4,84,2,2025-10-04,71349.5
45,3,199,4,2025-07-31,150304.52
46,3,100,1,2025-07-12,78090.42
47,2,121,4,2025-08-17,129025.84
48,1,139,3,2025-08-13,191837.37
49,3,119,2,2025-08-04,160895.94
50,2,200,5,2025-12-22,128908.3
51,2,22,2,2025-03-20,23018.14
52,3,160,5,2025-02-16,410452.05
53,3,30,1,2025-10-29,121957.32
54,1,3,1,2025-07-21,57279.92
55,4,173,4,2025-09-11,78333.48
56,2,23,5,2025-12-12,564299.2
57,2,108,3,2025-09-07,388187.94
58,2,161,4,2025-10-09,533976.88
59,1,86,3,2025-05-29,68686.68
60,1,165,3,2025-06-08,92548.02
61,4,182,2,2025-03-15,103793.1
62,3,171,5,2025-06-19,337233.75
63,1,11,5,2025-09-19,516254.65
64,1,116,4,2025-09-04,238684.12
65,2,143,4,2025-11-21,25986.4
66,2,66,1,2025-07-23,91900.11
67,4,121,5,2025-06-25,161282.3
68,4,138,5,2025-06-09,232734.8
69,2,41,2,2025-09-06,117392.86
70,3,119,3,2025-08-22,241343.91
71,1,168,1,2025-09-07,88227.36
72,1,160,1,2025-07-20,82090.41
73,2,9,3,2025-02-13,349306.32
74,2,93,3,2025-08-12,213880.77
75,2,100,2,2025-01-13,156180.84
76,4,161,1,2025-11-05,133494.22
77,3,52,4,2025-04-26,361495.88
78,3,137,4,2025-03-08,36908.88
79,2,79,2,2025-04-03,274896.42
80,2,190,1,2025-12-16,91725.95
81,2,116,4,2025-10-23,238684.12
82,3,70,1,2025-02-04,57704.79
83,3,56,5,2025-07-08,733769.6
84,4,6,1,2025-05-19,134336.2
85,4,170,2,2025-01-24,201786.58
86,4,63,1,2025-04-05,43947.1
87,4,110,3,2025-11-01,403693.2
88,1,45,4,2025-11-17,244910.84
89,2,26,1,2025-05-17,83433.74
90,2,198,5,2025-12-05,679871.95
91,3,197,4,2025-08-26,398978.52
92,3,173,1,2025-10-22,19583.37
93,1,43,4,2025-10-13,89568.2
94,1,13,5,2025-02-15,198096.7
95,1,3,2,2025-06-05,114559.84
96,3,145,3,2025-04-14,38217.12
97,3,42,2,2025-04-27,190186.74
98,2,118,5,2025-08-20,700432.0
99,4,192,4,2025-04-08,384051.52
100,2,11,4,2025-12-23,413003.72
101,2,98,2,2025-01-10,279926.24
102,4,63,2,2025-06-18,87894.2
103,2,170,4,2025-03-13,403573.16
104,4,149,3,2025-02-07,46191.24
105,3,32,2,2025-05-06,179540.14
106,4,177,5,2025-05-22,388338.8
107,4,179,4,2025-03-02,221999.16
108,3,177,4,2025-11-23,310671.04
109,2,109,1,2025-11-23,70026.18
110,3,64,5,2025-03-10,725065.9
111,4,152,2,2025-11-26,111335.42
112,4,159,3,2025-08-28,243772.29
113,1,82,4,2025-09-27,4154.24
114,4,72,1,2025-10-26,63829.77
115,2,126,5,2025-03-16,228983.15
116,3,103,3,2025-02-21,275827.59
117,2,11,2,2025-10-16,206501.86
118,3,72,3,2026-01-01,191489.31
119,4,124,2,2025-09-29,184028.44
120,1,60,1,2025-09-30,108336.32
121,2,159,3,2025-01-22,243772.29
122,1,39,5,2025-04-03,514077.15
123,1,85,1,2025-11-08,55347.77
124,3,39,3,2025-05-23,308446.29
125,1,33,1,2025-03-31,57086.24
126,1,15,1,2025-12-16,68290.68
127,4,174,4,2025-01-09,149332.2
128,1,79,2,2025-02-21,274896.42
129,1,194,1,2025-12-12,124279.09
130,2,35,1,2025-10-18,52903.77
131,2,181,2,2025-09-09,215539.7
132,3,179,5,2025-11-22,277498.95
133,2,167,3,2025-09-27,349738.83
134,2,156,4,2025-01-07,209851.12
135,1,92,1,2025-01-03,142894.55
136,4,92,3,2025-03-13,428683.65
137,3,164,2,2025-02-21,115095.62
138,2,44,1,2025-02-28,129939.74
139,3,135,1,2025-12-22,34370.3
140,2,198,1,2025-10-03,135974.39
141,2,150,2,2025-03-20,100012.94
142,1,59,4,2025-01-23,510539.12
143,1,125,2,2025-07-14,222369.74
144,3,83,5,2025-07-24,273162.3
145,4,42,3,2025-08-30,285280.11
146,4,102,3,2025-12-04,420276.45
147,2,138,2,2025-08-04,93093.92
148,3,10,3,2025-08-06,122542.77
149,1,130,1,2025-08-29,63692.48
150,1,7,4,2025-06-13,521937.44
151,3,56,4,2025-05-04,587015.68
152,2,48,2,2025-02-19,166941.6
153,3,27,4,2025-01-20,338720.52
154,3,45,1,2025-01-31,61227.71
155,1,38,3,2025-05-08,62589.0
156,1,98,5,2025-05-29,699815.6
157,1,192,4,2025-03-27,384051.52
158,1,196,5,2025-10-15,139797.65
159,1,111,3,2025-04-06,310080.03
160,1,98,1,2025-01-18,139963.12
161,1,103,4,2025-11-25,367770.12
162,1,106,1,2025-08-07,148890.93
163,3,195,2,2025-08-13,275490.2
164,2,189,4,2025-10-23,252334.28
